WindSpeed,WindDirection,PitchAngle,Temperature,Power
9.3,137.800003,-3.2,10.0,1400.800049
8.8,135.0,-3.0,10.0,1175.0
9.5,129.300003,-3.2,10.0,1418.0
9.6,136.100006,-3.3,10.0,1500.599976
9.4,135.199997,-3.3,10.0,1410.900024
9.5,139.5,-3.3,10.0,1562.099976
8.9,133.800003,-3.1,10.0,1225.400024
7.7,139.899994,-2.6,10.0,769.900024
8.3,146.199997,-2.8,9.0,957.799988
8.5,141.0,-2.9,9.0,1052.0
8.7,141.199997,-2.8,10.0,1121.900024
8.8,141.100006,-3.0,9.0,1166.099976
7.6,144.199997,-2.7,9.0,810.799988
8.0,143.699997,-2.6,9.0,890.099976
7.3,141.699997,-2.5,8.0,641.299988
7.7,143.5,-2.7,9.0,836.099976
6.8,144.899994,-2.3,9.0,509.299988
7.4,141.899994,-2.6,9.0,693.799988
7.8,140.600006,-2.7,9.0,796.5
7.1,141.199997,-2.5,9.0,614.099976
7.6,139.300003,-2.6,9.0,744.0
7.0,146.0,-2.4,9.0,583.900024
6.4,153.300003,-2.2,9.0,450.5
6.7,147.300003,-2.2,8.0,490.100006
7.1,145.300003,-2.5,8.0,581.400024
6.8,145.100006,-1.9,8.0,480.100006
7.8,141.300003,-2.0,9.0,719.400024
6.5,148.300003,-2.2,8.0,450.5
6.9,145.600006,-2.3,8.0,523.900024
6.6,142.899994,-2.3,8.0,477.899994
6.2,145.899994,-2.0,8.0,395.600006
7.6,139.199997,-2.6,8.0,705.799988
7.5,142.100006,-2.6,8.0,720.099976
9.1,128.699997,-3.1,9.0,1275.099976
9.7,127.0,-3.1,9.0,1467.5
9.9,129.199997,-3.4,9.0,1670.199951
10.2,126.800003,-3.3,9.0,1722.400024
10.4,125.199997,-3.3,10.0,1855.599976
9.5,128.600006,-3.2,9.0,1467.099976
9.8,126.5,-3.4,9.0,1556.099976
9.6,127.099998,-3.2,10.0,1504.800049
8.7,127.699997,-3.0,9.0,1099.5
7.3,134.899994,-2.6,9.0,674.400024
7.5,133.5,-2.5,9.0,729.900024
6.8,132.899994,-2.4,9.0,550.799988
